video_id;view_count;tags;url;duration_in_seconds
ohYlNTKOFt0;19308;Palestine, United Nations, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=ohYlNTKOFt0;52
I3M862xbeKU;1153;Saudi-led Coalition, Killing, Airstrike, Drone War, Civilian Casualties, Humanitarian Crisis, Civil War, War in Yemen Explained, Terrorism, Yemen, United States, Al-qaeda, Taliban, Yemeni Crisis, Yemen Civil War, Yemen War Explained, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=I3M862xbeKU;133
IcElYG1Tdr0;7473;Bahrain, Syria, Khomeini, Mohamed Bin Salaman, Lebanon, Iraq, Yemen, Politics, Middle East, Saudi Arabia, Iran, Proxy War, Shiasunni Relations, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=IcElYG1Tdr0;291
-wWnjofzgu4;1687;US, George H W Bush, Cia, Gulf War, President, Vice President, Congresman, Navy, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=-wWnjofzgu4;41
LFDPYBNB7bs;1301;Microplastic, Plastic, Dead, Yoga, Cancer, Whale, Ocean, Pollution, Hormones, Does Plastic Cause Cancer, Bpa, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=LFDPYBNB7bs;238
WQ9UO2B3u6E;5716;Macron, France Protests, Paris, Yellow Vests, Emmanuel Macron, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=WQ9UO2B3u6E;42
aE_yKzMKLjo;1418;Nigeria President, Nigerian President, Nigeria President 2018, Nigeria, President, Muhammadu Buhari, Sudanese, Jubril, United Kingdom, Clone, Lookalike, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=aE_yKzMKLjo;88
x_4GsLsYbHE;1989;Saudi Arabia, Lng, Opec, Qatar, Petroleum, Liquified Natural Gas, Oil, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=x_4GsLsYbHE;51
k_7OThRPXRE;7732;Mbs, Khashoggi, Saudi, Mohammed Bin Salman, Crown Prince, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=k_7OThRPXRE;67
S0hQyIp_wQc;387;Macron, Fuel Tax, Protests, French, Yellow Vest, France, Paris, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=S0hQyIp_wQc;59
Q3jMQAcXVmQ;551;Turkey, Mac Brunson, Jalen Brunson, Brunson, Andrew Brunson, Politics, Protestantism, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=Q3jMQAcXVmQ;54
f65xKp9x0_w;2906;Jamal Khashoggi, Business Deals, Khashoggi, Future Investment Initiative, Uber, Saudi Arabia, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=f65xKp9x0_w;71
boLl5JsIKNc;559;Robotics Technology, Boston, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=boLl5JsIKNc;20
XzYpyPcbesk;4752;Metoo, Alyssa Milano, US, Meisup, Sexual Harassment, Feminism, Human Behavior, Sexual Misconduct, Social Issues, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=XzYpyPcbesk;287
79_S0rRY3hM;1965;Syria, Damascus, War, Pigeon Keeper, Yarmouk Camp, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=79_S0rRY3hM;76
EvzwaI6CI24;5684;Saudi, Turkey, Saudi Arabia, Saudi News, Khashoggi, Jamal Khashoggi, Saudi Consulate, Turkey News, İstanbul, Khashogi, Turkey Consulate, Mbs, Dissent, Riyadh, Saudi Dissent, Saudi Government, Saudi Critic, Government Critic, Bin Salman, Critic, Mohammed Bin Salman, Human Rights, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=EvzwaI6CI24;159
BDvl0MfV8u4;2453;Fener, Christian, Church, Orthodox, Istanbul, Constantinople, Russia, Ukraine, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=BDvl0MfV8u4;80
eFG-6oyS_90;1072;Asian-americans, Affirmative Action, Bias, Racism, Harvard University, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=eFG-6oyS_90;64
5w_DdwkXnS0;3510;Assassination, Bin Salman, Khashoggi, Saudi Arabia, Turkey, Journalist, Consulate, Mbs, Killing, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=5w_DdwkXnS0;168
mUt33zWrUF0;4059;Mohammad Bin Salman, Jamal Khashoggi, Consulate, Murder, Disappearance, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=mUt33zWrUF0;107
NNrtJ8ZjqMg;5817;Honduran, Honduras, Migrant, Caravan, Mexico, Trump, Refuge, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=NNrtJ8ZjqMg;72
aR3cCO3Z17g;1327;Private Army, Iraq and Afghanistan, Blackwater, Private Military Contractors, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=aR3cCO3Z17g;257
9iP2a9nzzas;444;Medicine, Zika Fever, Health, Zika Virus, Social Issues, Education, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=9iP2a9nzzas;63
9fZ8imFAgFQ;3657;Tony Blair, Muslim, Lauren Booth, Islamophobia, Religion, Europe, UK, Hate, Crime, West, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=9fZ8imFAgFQ;0
